parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
version,Schema Version,const,The version of this schema,1,,,,,,,,FALSE,,,
gpu_ids,GPU indices,list,,"[0]",,,,,,,,FALSE,,,
autolabel_type,,string,,mal,,,,,,,,FALSE,,,
batch_size,,int,,4,,,,,,,,FALSE,,,
grounding_dino,,collection,,,,,,,,,,FALSE,,,
grounding_dino.checkpoint,,collection,,,,,,,,,,FALSE,,,
grounding_dino.visualize,,bool,,True,,,,,,,,FALSE,,,
grounding_dino.iteration_scheduler,,list,,"[{""conf_threshold"": 0.5, ""nms_threshold"": 0.0}]",,,,,,,,FALSE,,,
grounding_dino.dataset,,collection,,,,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation,,collection,,,,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.fixed_padding,,bool,,True,,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.fixed_random_crop,,int,,1024,,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.horizontal_flip_prob,,float,,0.5,,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.input_mean,,list,,"[0.485, 0.456, 0.406]",,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.input_std,,list,,"[0.229, 0.224, 0.225]",,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.random_resize_max_size,,int,,1333,,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.scales,,list,,"[480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800]",,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.test_random_resize,,int,,800,,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.train_random_crop_max,,int,,600,,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.train_random_crop_min,,int,,384,,,,,,,,FALSE,,,
grounding_dino.dataset.augmentation.train_random_resize,,list,,"[400, 500, 600]",,,,,,,,FALSE,,,
grounding_dino.dataset.class_names,,list,,,,,,,,,,FALSE,,,
grounding_dino.model,,collection,,,,,,,,,,FALSE,,,
grounding_dino.model.aux_loss,,bool,,True,,,,,,,,FALSE,,,
grounding_dino.model.backbone,,string,,swin_tiny_224_1k,,,,,,,,FALSE,,,
grounding_dino.model.backbone_names,,list,,"[""backbone.0"", ""bert""]",,,,,,,,FALSE,,,
grounding_dino.model.bbox_loss_coef,,float,,5.0,,,,,,,,FALSE,,,
grounding_dino.model.class_embed_bias,,bool,,False,,,,,,,,FALSE,,,
grounding_dino.model.clip_max_norm,,float,,0.1,,,,,,,,FALSE,,,
grounding_dino.model.cls_loss_coef,,float,,2.0,,,,,,,,FALSE,,,
grounding_dino.model.dec_layers,,int,,6,,,,,,,,FALSE,,,
grounding_dino.model.dec_n_points,,int,,4,,,,,,,,FALSE,,,
grounding_dino.model.decoder_sa_type,,string,,sa,,,,,,,,FALSE,,,
grounding_dino.model.dilation,,bool,,False,,,,,,,,FALSE,,,
grounding_dino.model.dim_feedforward,,int,,2048,,,,,,,,FALSE,,,
grounding_dino.model.dn_box_noise_scale,,float,,1.0,,,,,,,,FALSE,,,
grounding_dino.model.dn_label_noise_ratio,,float,,0.5,,,,,,,,FALSE,,,
grounding_dino.model.dn_number,,int,,0,,,,,,,,FALSE,,,
grounding_dino.model.dropout_ratio,,float,,0.0,,,,,,,,FALSE,,,
grounding_dino.model.embed_init_tgt,,bool,,True,,,,,,,,FALSE,,,
grounding_dino.model.enc_layers,,int,,6,,,,,,,,FALSE,,,
grounding_dino.model.enc_n_points,,int,,4,,,,,,,,FALSE,,,
grounding_dino.model.fix_refpoints_hw,,int,,-1,,,,,,,,FALSE,,,
grounding_dino.model.focal_alpha,,float,,0.25,,,,,,,,FALSE,,,
grounding_dino.model.focal_gamma,,float,,2.0,,,,,,,,FALSE,,,
grounding_dino.model.giou_loss_coef,,float,,2.0,,,,,,,,FALSE,,,
grounding_dino.model.hidden_dim,,int,,256,,,,,,,,FALSE,,,
grounding_dino.model.interm_loss_coef,,float,,1.0,,,,,,,,FALSE,,,
grounding_dino.model.linear_proj_names,,list,,"[""reference_points"", ""sampling_offsets""]",,,,,,,,FALSE,,,
grounding_dino.model.log_scale,,float,,,,,,,,,,FALSE,,,
grounding_dino.model.loss_types,,list,,"[""labels"", ""boxes""]",,,,,,,,FALSE,,,
grounding_dino.model.max_text_len,,int,,256,,,,,,,,FALSE,,,
grounding_dino.model.nheads,,int,,8,,,,,,,,FALSE,,,
grounding_dino.model.no_interm_box_loss,,bool,,False,,,,,,,,FALSE,,,
grounding_dino.model.num_feature_levels,,int,,4,,,,,,,,FALSE,,,
grounding_dino.model.num_queries,,int,,900,,,,,,,,FALSE,,,
grounding_dino.model.num_select,,int,,300,,,,,,,,FALSE,,,
grounding_dino.model.pe_temperatureH,,int,,20,,,,,,,,FALSE,,,
grounding_dino.model.pe_temperatureW,,int,,20,,,,,,,,FALSE,,,
grounding_dino.model.pre_norm,,bool,,False,,,,,,,,FALSE,,,
grounding_dino.model.return_interm_indices,,list,,"[1, 2, 3, 4]",,,,,,,,FALSE,,,
grounding_dino.model.set_cost_bbox,,float,,5.0,,,,,,,,FALSE,,,
grounding_dino.model.set_cost_class,,float,,1.0,,,,,,,,FALSE,,,
grounding_dino.model.set_cost_giou,,float,,2.0,,,,,,,,FALSE,,,
grounding_dino.model.text_encoder_type,,string,,bert-base-uncased,,,,,,,,FALSE,,,
grounding_dino.model.train_backbone,,bool,,True,,,,,,,,FALSE,,,
grounding_dino.model.two_stage_type,,string,,standard,,,,,,,,FALSE,,,
grounding_dino.model.use_dn,,bool,,True,,,,,,,,FALSE,,,
grounding_dino.train,,collection,,,,,,,,,,FALSE,,,
grounding_dino.train.activation_checkpoint,,bool,,True,,,,,,,,FALSE,,,
grounding_dino.train.checkpoint_interval,,int,,1,,,,,,,,FALSE,,,
grounding_dino.train.clip_grad_norm,,float,,0.1,,,,,,,,FALSE,,,
grounding_dino.train.cudnn.benchmark,,bool,,False,,,,,,,,FALSE,,,
grounding_dino.train.cudnn.deterministic,,bool,,True,,,,,,,,FALSE,,,
grounding_dino.train.distributed_strategy,,string,,ddp,,,,,,,,FALSE,,,
grounding_dino.train.freeze,,list,,,,,,,,,,FALSE,,,
grounding_dino.train.gpu_ids,,list,,"[0]",,,,,,,,FALSE,,,
grounding_dino.train.is_dry_run,,bool,,False,,,,,,,,FALSE,,,
grounding_dino.train.num_epochs,,int,,10,,,,,,,,FALSE,,,
grounding_dino.train.num_gpus,,int,,1,,,,,,,,FALSE,,,
grounding_dino.train.num_nodes,,int,,1,,,,,,,,FALSE,,,
grounding_dino.train.precision,,string,,fp32,,,,,,,,FALSE,,,
grounding_dino.train.seed,,int,,1234,,,,,,,,FALSE,,,
grounding_dino.train.validation_interval,,int,,1,,,,,,,,FALSE,,,
grounding_dino.train.verbose,,bool,,False,,,,,,,,FALSE,,,
grounding_dino.train.optim,,collection,,,,,,,,,,FALSE,,,
grounding_dino.train.optim.lr,,float,,0.0002,,,,,,,,FALSE,,,
grounding_dino.train.optim.lr_backbone,,float,,2e-05,,,,,,,,FALSE,,,
grounding_dino.train.optim.lr_decay,,float,,0.1,,,,,,,,FALSE,,,
grounding_dino.train.optim.lr_linear_proj_mult,,float,,0.1,,,,,,,,FALSE,,,
grounding_dino.train.optim.lr_scheduler,,string,,MultiStep,,,,,,,,FALSE,,,
grounding_dino.train.optim.lr_step_size,,int,,10,,,,,,,,FALSE,,,
grounding_dino.train.optim.lr_steps,,list,,"[10]",,,,,,,,FALSE,,,
grounding_dino.train.optim.momentum,,float,,0.9,,,,,,,,FALSE,,,
grounding_dino.train.optim.monitor_name,,string,,val_loss,,,,,,,,FALSE,,,
grounding_dino.train.optim.optimizer,,string,,AdamW,,,,,,,,FALSE,,,
grounding_dino.train.optim.weight_decay,,float,,0.0001,,,,,,,,FALSE,,,
mal,,collection,,,,,,,,,,FALSE,,,
mal.checkpoint,,hidden,,,,,,,,,,FALSE,,,
mal.dataset,,collection,,,,,,,,,,FALSE,,,
mal.dataset.crop_size,,int,,512,,,,,,,,FALSE,,,
mal.dataset.load_mask,,bool,,True,,,,,,,,FALSE,,,
mal.dataset.max_obj_size,,float,,10000000000.0,,,,,,,,FALSE,,,
mal.dataset.min_obj_size,,float,,2048.0,,,,,,,,FALSE,,,
mal.dataset.num_workers_per_gpu,,int,,2,,,,,,,,FALSE,,,
mal.dataset.train_ann_path,,hidden,,,,,,,,,,FALSE,,,
mal.dataset.train_img_dir,,hidden,,,,,,,,,,FALSE,,,
mal.dataset.type,,string,,coco,,,,,,,,FALSE,,,
mal.dataset.val_ann_path,,hidden,,,,,,,,,,FALSE,,,
