parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
sets,,list,,"[""afw""]",,,,,,,,FALSE,,,
gt_path,,string,,data,,,,,,,,FALSE,,,
save_path,,string,,data/tfrecords,,,,,,,,FALSE,,,
gt_root_path,,hidden,,,,,,,,,,FALSE,,,
save_root_path,,hidden,,,,,,,,,,FALSE,,,
image_root_path,,hidden,,,,,,,,,,FALSE,,,
tfrecord_folder,,string,,FpeTfRecords,,,,,,,,FALSE,,,
tfrecord_name,,string,,data.tfrecords,,,,,,,,FALSE,,,
num_keypoints,,int,,80,,,,,,,,FALSE,,,
bbox_enlarge_ratio,,float,,1.0,,,,,,,,FALSE,,,
