parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,automl_enabled,math_cond,parent_param,depends_on
gpus,,integer,,1,,,,,,,,FALSE,,,
use_amp,,bool,,FALSE,,,,,,,,FALSE,,,
random_seed,,integer,,42,,,,,,,,FALSE,,,
model_config,,collection,,,,,,,,,,FALSE,,,
model_config.arch,,string,,resnet,,,,,,,,FALSE,,,
model_config.input_image_size,,string,,"3,80,60",,,,,yes,,yes,FALSE,,,
model_config.resize_interpolation_method,,ordered,,,,,,"__BILINEAR__,__BICUBIC__",,,,,,,
model_config.n_layers,,ordered_int,,10,,,,"10,18,34,50,101",,,,FALSE,,,
model_config.use_imagenet_head,,bool,,,,,,,,,,,,,
model_config.use_batch_norm,,bool,,TRUE,,,,,,,,,,,
model_config.use_bias,,bool,,,,,,,,,,FALSE,,,
model_config.use_pooling,,bool,,,,,,,,,,,,,
model_config.all_projections,,bool,,TRUE,,,,,,,,,,,
model_config.freeze_bn,,bool,,,,,,,,,,,,,
model_config.freeze_blocks,,integer,,,,,,,,,,FALSE,,,
model_config.dropout,,float,,,,0,1,,,,,,,,
model_config.batch_norm_config,,collection,,,,,,,,,,FALSE,,,
model_config.batch_norm_config.momentum,,float,,0.9,,1.00E-05,inf,,,,,,,,
model_config.batch_norm_config.epsilon,,float,,1.00E-05,,1.00E-10,inf,,,,,,,,
model_config.activation,,collection,,,,,,,,,,FALSE,,,
model_config.activation.activation_type,,string,,,,,,,,,,FALSE,,,
model_config.activation.activation_parameters,,collection,,,,,,,,,,FALSE,,,
model_config.activation.activation_parameters.key,,string,,,,,,,,,,FALSE,,,
model_config.activation.activation_parameters.value,,float,,,,,,,,,,FALSE,,,
dataset_config,,collection,,,,,,,,,,FALSE,,,
dataset_config.train_csv_path,,hidden,,,,,,,,,,FALSE,,,
dataset_config.image_directory_path,,hidden,,,,,,,,,,FALSE,,,
dataset_config.val_csv_path,,hidden,,,,,,,,,,FALSE,,,
training_config,Training,collection,,,,,,,,,,FALSE,,,
training_config.batch_size_per_gpu,Batch Size Per GPU,integer,The number of images per batch per GPU.,32,,1,inf,,,,,,,,
training_config.num_epochs,Number of Epochs,integer,The total number of epochs to run the experiment.,10,,1,,,,,,FALSE,,,
training_config.enable_qat,Enable Quantization Aware Training,bool,bool,,,,,,,,,FALSE,,,
training_config.learning_rate,,float,,,,0.00002,0.0002,,,,,FALSE,,,
training_config.learning_rate.soft_start_annealing_schedule,,collection,,,,,,,,,,FALSE,,,
training_config.learning_rate.soft_start_annealing_schedule.min_learning_rate,Minimum Learning Rate,float,The minimum learning rate in the learning rate schedule.,1.00E-06,,1.00E-06,1.00E-04,,,,,TRUE,,,< training_config.learning_rate.soft_start_annealing_schedule.max_learning_rate
training_config.learning_rate.soft_start_annealing_schedule.max_learning_rate,Maximum Learning Rate,float,The maximum learning rate in the learning rate schedule.,1.00E-02,,0,,,,,,,,TRUE,
training_config.learning_rate.soft_start_annealing_schedule.soft_start,Soft Start,float,The time to ramp up the learning rate from minimum learning rate to maximum learning rate.,0.1,,0,1,,,,,TRUE,,,< training_config.learning_rate.soft_start_annealing_schedule.annealing
training_config.learning_rate.soft_start_annealing_schedule.annealing,Annealing,float,The time to cool down the learning rate from maximum learning rate to minimum learning rate. Greater than soft_start.,0.7,,0,1,,,,,,,TRUE,
training_config.regularizer.type,Regularizer Type,ordered,The type of the regularizer being used.,__L1__,,,,"__L1__,__L2__",,,,TRUE,,,
training_config.regularizer.weight,Regularizer Weight,float,The floating point weight of the regularizer.,9.00E-05,,3.00E-11,3.00E-03,,,,,TRUE,,,
training_config.checkpoint_interval,Checkpoint Interval,integer,The interval (in epochs) at which train saves intermediate models.,1,,,,,,,,FALSE,,,
training_config.max_queue_size,Max Queue Size,integer,Maximum Queue Size in Sequence Dataset,,,,,,,,,FALSE,,,
training_config.n_workers,Workers,integer,Number of workers in sequence dataset,,,,,,,,,FALSE,,,
training_config.use_multiprocessing,Use Multiprocessing,bool,Use multiprocessing or not,,,,,,,,,FALSE,,,
training_config.visualizer,Visualizer,collection,,,,,,,,,,FALSE,,,
training_config.visualizer.enabled,Enable,bool,Enable the visualizer or not,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config,ClearML config,collection,ClearML Configuration,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.project,ClearML project name,string,Name of the ClearML project to upstream the visualization data.,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.task,ClearML experiment name,string,Name of the ClearML experiment,,,,,,,,,FALSE,,,
training_config.visualizer.clearml_config.tags,ClearML tags,string,Tag of the ClearML experiment,,,,,,,,,FALSE,,,
training_config.optimizer.sgd,,collection,One of SGD / ADAM / RMSPROP,,,,,,,,,,,,
training_config.optimizer.sgd.momentum,,float,,0.9,,1.00E-10,0.99,,,,,TRUE,,,
training_config.resume_model_path,,hidden,,,,,,,,,,FALSE,,,
training_config.optimizer.sgd.nesterov,,bool,,FALSE,,,,,,,,TRUE,,,
