parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,popular,regex,automl_enabled,math_cond,parent_param,depends_on
data,,collection,Input data parameters,,,,,,,,,FALSE,,,
data.image_dir,,hidden,Input image directory,,,,,,,,,FALSE,,,
data.ann_path,,hidden,Input label directory,,,,,,,,,FALSE,,,
data.output_dataset,,hidden,Output directory,,,,,,,,,FALSE,,,
data.batch_size,,int,Data batch size,2,,,,,,,,FALSE,,,
data.output_image_width,,int,Output image width,1000,,,,,,,,FALSE,,,
data.output_image_height,,int,Output image height,300,,,,,,,,FALSE,,,
data.include_masks,,bool,Does the data include mask informations,FALSE,,,,,,,,FALSE,,,
data.dataset_type,,string,Data format,coco,,,,,,,,FALSE,,,
spatial_aug,,collection,Spatial augmentation parameters,,,,,,,,,FALSE,,,
spatial_aug.rotation,,collection,Rotation parameters,,,,,,,,,FALSE,,,
spatial_aug.rotation.angle,,list,List of rotation angles,"[0, 10, 30]",,,,,,,,FALSE,,,
spatial_aug.rotation.refine_box,,collection,Bounding box refinement parameters,,,,,,,,,FALSE,,,
spatial_aug.rotation.refine_box.enabled,,bool,Is bounding box refinement enabled,TRUE,,,,,,,,FALSE,,,
spatial_aug.rotation.refine_box.gt_cache,,string,Ground truth information,label.json,,,,,,,,FALSE,,,
gpu_ids,,list,List of GPU IDs,"[0]",,,,,,,,FALSE,,,
num_gpus,,int,Number of GPUs,1,,,,,,,,FALSE,,,
results_dir,,hidden,,,,,,,,,,FALSE,,,
