,parameter,display_name,value_type,description,default_value,examples,valid_min,valid_max,valid_options,required,regex,popular,param_type (internal / hidden / inferred),CLI,automl_enabled,math_cond,parent_param,depends_on
,gpus,number of gpus,integer,,1,,,,,,,,,,FALSE,,,
,use_amp,,bool,,FALSE,,,,,,,,,,FALSE,,,
,augmentation_config,Augmentation config,collection,,,,,,,,,,,,FALSE,,,
,augmentation_config.brightness,Brightness,integer,Brightness delta in color jittering augmentation,32,,0,255,,,,,,,,,,
,augmentation_config.contrast,Contrast,float,Contrast delta factor in color jitter augmentation,0.5,,0,1,,,,,,,,,,
,augmentation_config.hue,Hue,integer,Hue delta in color jittering augmentation,18,,0,180,,,,,,,,,,
,augmentation_config.image_mean,Image Mean,collection,"A key/value pair to specify image mean values. If omitted,ImageNet mean will be used for image preprocessing. If set,depending on output_channel,either ‘r/g/b’ or ‘l’ key/value pair must be configured.",,,,,,,,,,,FALSE,,,
,augmentation_config.image_mean.key,,string,"A key/value pair to specify image mean values. If omitted,ImageNet mean will be used for image preprocessing. If set,depending on output_channel,either ‘r/g/b’ or ‘l’ key/value pair must be configured.",,,,,,,,,,,FALSE,,,
,augmentation_config.image_mean.value,,float,"A key/value pair to specify image mean values. If omitted,ImageNet mean will be used for image preprocessing. If set,depending on output_channel,either ‘r/g/b’ or ‘l’ key/value pair must be configured.",,,,,,,,,,,FALSE,,,
,augmentation_config.output_channel,Model Input channel,integer,,3,,,,"1,3",,,yes,,,FALSE,,,
,augmentation_config.output_height,Model Input height,integer,,736,,64,inf,,,,yes,,,,,,
,augmentation_config.output_width,Model Input width,integer,,1280,,64,inf,,,,yes,,,,,,
,augmentation_config.random_crop_max_ar,Random Crop MIin Aspect Ratio,float,the maximum random crop aspect ratio,2,,0.1,10,,,,,,,,,,>= augmentation_config.random_crop_min_ar
,augmentation_config.random_crop_max_scale,Random Crop Max Scale,float,the maximum random crop size,1,,0,1,,,,,,,,,,>= augmentation_config.random_crop_min_scale
,augmentation_config.random_crop_min_ar,Random Crop Max Aspect Ratio,float,the minimum random crop aspect ratio,0.5,,0.1,10,,,,,,,,,TRUE,
